Comments,location_bool
"Bila rakyat mati, eksiden, sebab jalan berlubang, haram tak minta maaf. Cip Lando tiap hari membebel pasal benda ni. Bila menteri kena terus menggelabah. Apa kau fikir nyawa rakyat bukan menteri ni tiada nilai?",FALSE
"Semoga YB2 Dan Pegawai2 JKR Dikawasan Lain Pun Turut Serta Dalam Aktiviti2 Berbasikal Sebegini Di Kawasan Masing2 Agar Seluruh Lubang2 Jalan Diseluruh Negara Dikenalpasti.!  Lagi Elok Jika Seme YB2 Atau Pegawai JKR Tu Yang ""Mencium"" Lubang2 Tu Agar Lagi Cepat Pihaknya Memohon Maaf Sesama Sendiri..😌",FALSE
terbukti... nyawa rakyat kebanyakan lebih murah dari menteri... Teringat kes motorist mati langgar lubang di PG highway.,FALSE
"Rondaan berbasikal adalah langkah terbaik mengesan kerosakan jalan di Malaysia. Cadangan ni boleh dibawa ke Parlimen untuk dibahaskan dan diundi. Ahli Parlimen, Menteri dan Jabatan yang bertanggungjawab boleh dibekalkan basikal untuk lebih berkesan menjalankan tugas, lebih cergas dan lebih bijak berfikir.",TRUE
So hari2 kita kena tunggu ada menteri tertungging atas jalanraya baru JKR nak buat kerja.,TRUE
"Tak Ada pulak ketua2 bahagian jkr yg minat kayuh basikal,kalau Tak senang sikit nak tengok jalan yg berlubang..kalau biasa Naik kereta mewah je,tayar jatuh lubang pun Tak Ada rasa.. apa2 pun semoga rezeki Kita diberkati Allah.",FALSE
"Semoga yb cepat sembuh dari jatuh basikal tu, Dan mohon lps tu berbasikal ke seluruh Malaysia, baru semua jln berlubang diperbaiki Dan pihak berkenaan minta maaf. ",TRUE
Jkr kenapa bila ade kes baru nak jalan kerja..bukan ade team yg pantau ke... Ke jkr slalu tggu complain baru ade job...ingat budak2 je mcm tu rupa org dewasa pun sama...,FALSE
"Kalau pantau jalan naik kereta mewah... Msk lubang pun tak rasa... Jalan senget pun tak kisah.... Jalan beralun pun tak rasa.... Lubang sana sini.... Tampal jalan kontraktor buat lebih krg.... Menggerutu...cepatla kete kene tukar absorber, rim dan tayar...klu naik kete sedap mahal mmg akan rasa jalan di malaysia ni la yg terbaik...",TRUE
Selagi Menteri/VVIP tak cedera atau mati selagi tu mcm2 alasan x Tar jalan berlubang. Harap ada lg VvIP atau Menteri jatuh atau mati terus,TRUE
Kalo rakyat atau org awam yg kena..ada pihak jkr cakna² atau sekurang² nya ambil perhatian dan tindakan..mcm tu la double standard yg diamalkan ..,FALSE
"Rilek la JKR. Kena bincang betul2 mana nak repair. Itu belum masuk reply jururunding lagi, buat  tender, mesyuarat dengan karipap dan bagai lagi. Paling cepat lagi satu abad baru boleh tutup satu lubang.",FALSE
"Menteri jatuh basikal satu malaya kecoh, apa jadi kalau menteri dijatuhkan bersalah rasuah oleh makamah bertukar jadi BEROK ..???",FALSE
"Adik ipar sy meninggal jln berlubang... xde pun yg minta maaf, xpe kami redo itu dh ketentuan, ajal maut di tgn Allah.",FALSE
double standard JKR ni .. tang menteri minta maaf bagai .. yg kami rakyat biasa ni .. 😅,FALSE
ade yg mintak maaf..makne nye wujud la pihak yg bertanggungjawab utk baiki jln..kite perlukan ramai lg menteri yg jatuh ke lubang utk bgtau keadaan jln raya kat malaysia ni,TRUE
Semoga semua YB di sarawak bermain basikal Dan Jatuh tergolek supaya JKR akan buat jalan lbh baik lg... 🙏🙏,TRUE
"Jalan raya di shah alam,subang dan glenmarie..nak buat MRT , LRT ke Flyover ke buat je la..tapi jalan raya bagi la elok..jangan kerana Projek & Pembangunan dijadikan ALASAN jalan raya tak boleh di perbaiki..banyak kenderaan rosak & terbabas di sebabkan jalan teruk akibat dari pembangunan..Tolong,Sila Ambil Perhatian",TRUE
"Kalau org mcm KJ yg kena bukan main JKR minta maaf, tp kalau rakyat biasa yg kena buat x kisah pun kan!",FALSE
Nampak sgt nyawa dan keselamatan rakyat marhain d pandang sebelah mata oleh pihak JKR ni.....sbb.........dh bnyk kemalangan yg mmbabitkan kalangan pengguna marhain yg membabit kn lubang d jln raya...tp x pernah JKR buat kenyataan....tp.....bila mna yg berjawatan atau menteri....trus kluar kenyataan.......d mna telusnya perhidmatan jabtan yg berkaitan.....,FALSE
Depa kata kita kena doakan ramai lagi menteri atau timbalan menteri masuk pothole dan eksiden.. Maka akan elok lah jalanraya di Malaysia lepas ni. Depa la kata..,TRUE
"KJ wajar kayuh beskal satu malaysia..  Baru nampak JKR buat keje bebetul ke,  memain jer..  😂😂",FALSE
"Bagus...kalo lebih ramai menteri jatuh akibat langgar lubang ,pasti jalan kt malaysia nie baik2 ajer",FALSE
"Yb jatuh kemain terus minta maaf, yang sampai mati angkara lubang, ada kau minta maaf? Permohonan maaf hanya sesuai untuk berpangkat je ke?",FALSE
Klu yb yg jatuh lubang Jkr snggup mohon maaf no..rakyat yg jatuh lubang ni xdk spa mohon maaf pn siap ada yg  meninggal lg..,FALSE
Satu Malaysia mempunyai masalah kerosakan jalan raya. Kerosakan sepatutnya dipantau oleh pihak JKR dan bukan tunggu pengguna buat laporan atau aduan. Pihak JKR perlu lebih peka dan bukan tunggu ada kemalangan baru nak mohon maaf dan ambil tindakan.,FALSE
Kena dekat golongan vip siap mintak maaf bagai...Marhaen ni yg hadap jalan rosak hari2 sampai ada yg hilang nyawa tiada minta maaf pun...Sembang !!!,FALSE
"Bila Mentri mohon maaf,bila org awam kau ada tak nk mohon maaf,buta mata pekak telinga,memang JKR ni tak layak di iktiraf,alasan tak terima aduan,pg je la jalan cari bukan nya dok diam.",FALSE
"""Saya tak perlu pemohonan maaf dari @JKRMalaysia. Apa yang saya minta cuma tolong ambil tindakan dan pantau jalan raya rosak...."" Dan pastikan lampu isyarat yg bertahun tak berfungsi di pantau...yg mana jalan raya yg tidak ber line sila cat kembali.... lagi satu jangan nak pantau jalan2 yg popular je...sila pantau jalan2 Bandar2 jalan2 kampung yg berkaitan dgn tanggungjawab anda... #AmanahDanBertanggungjawab... #HatiKenaBesar... #BilaAdaTeguran #JanganMudahMelantun",FALSE
"Bila YB yang jatuh cepat JKR minta maaf, tpi kalau RAKYAT MARHAEN yg jatuh haram minta maaf, apatah lagi mendoakan seperti YB Khairi tu, sesuai lah dng nama nya Jangan Kastakan Rakyat.",FALSE
"Berikutan dgn kejadian yg menimpa YB KJ dn betapa ikhlasnya JKR memohon maaf diatas masalah jalanraya yg dihadapi, sukacitanya sy sebagai rakyat malaysia memohon jasa baik semua MENTERI2, YB2, PENGHULU2, WAKIL2 RAKYAT, KETUA2 BAHAGIAN, KETUA2 KAMPUNG, TOK EMPAT4 KAMPUNG dn JKKK2 turun mengayuh basikal utk melihat keadaan jalan2 ditempat masing2 demi kepentingan rakyat... kalu jatuh or buat2 lh terjatuh pon lagi bagus, cepat sikit JKR bertindak...",FALSE
Harap harap menteri di Sarawak selalu jatuh. Supaya JKR minta maaf Dan baiki.,TRUE
"Lubang tu diam² kat situ,yg YB g langgar pasal pe?..kan luas ada yg tak de lubang gi laaa lalu..adoiii",FALSE
"The road conditions at Klang, Port Klang,  North Port and West Port in very bad condition and causing many accidents and damage our vehicle. Pls take some serious action to overcome the issue.  Especially for motorcycle user   it's quite dangerous.",TRUE
JKR adalah antara Jabatan yg kuat makan RASUAH....Mohon SPRM tlg buat siasatan....sampaikan nak repair jln pun blh kata peruntukan tak cukup??? Mana pegi peruntukan yg diberi tiap2 kali belanjawan dibentangkan??? Masuk poket Pengarah2 ker??😡😡,FALSE
Sejumlah ramai rakyat yang bayar cukai yang terlibat kemalangan akibat keadaan jalan raya tak diselenggara dengan baik - takde pun mintak maaf. Tapi bila kena kat menteri - xyah suruh terus minta maaf. Ish3... Bila la jalan raya kat malaysia ni nak setaraf negara barat/jepun... Bangunan tinggi2 xnak kalah dgn amerika..,TRUE
Ada bagusnya cycling ni...menteri jatuh dan kemalangan baru JKR tahu ada jalan yg tak elok dan perlu dibaiki....so cadangan saya supaya menteri2 berbasikal sendiri meninjau jalan2 di Malaysia....badan sihat luas pemandangan,FALSE
Sudah la JKR..double standard!!!..ramai rakyat yang patah riuk dan ade yg kehilangan nyawa..sebab jalan2 berlubang...ade hang kesah??...bila tang menteri..cepat mohon maaf...shame on you la....,FALSE
Nampak sangat plotnya bila kena kat pak menteri or VIP siap mohon maaf kalau rakyat buat bodohnya...nak kata tak nampak dia orang pun masih guna jalanraya bukannya terbang...bangun2 le dari tidur tu kerja demi rakyat bukan setakat amik gaji...bila ada aduan segerakan bukan tunggu viral baru nak buat...,FALSE
"Menteri tergolek luka² skit menggelupor minta maaf bagai, yg ramai cedera parah yg mati sebab jalan serupa kolam ikan korang bleh plak buat² tak nampak, haram jadah sungguh..",FALSE
Pilih bulu JKR ni.org awam langar/elak lubang hgg membawa kematian buat tak faham je...tak pernah pun JKR minta maaf ......,FALSE
"Byk lg jln berlubang yg merbahaya kpd rakyat,bila jd kemalangan,polis asyik menyalahkan pengguna mengatakan cuai,dh lama sgt dh jln berlubang ni.cukai jln pengguna dh bayar tp jln ttp mcm lama",FALSE
Semua menteri dialu alukan utk berbasikal di daerah Kuala Langat. Jalan yg berlubang dan rosak sana sini ditambah dgn tiang lampu tak bercahaya akan dpt memberikan pengalaman extreme dan mengujakan dan tak ada ditempat lain.  Ikhlas:  Penduduk asal Kuala Langat,TRUE
Belum kamu pigi Sabah kerbau pun boleh berkubang lagi 😏😏,FALSE
Tolong jatuh di pan borneo juga. Moga2 dapatlah jalan yang bagus lepas tu.,FALSE
Harap ramai lagi YB @ Menteri jatuh lagi lepas ni. Baru rakyat dapat merasai kemudahan jalan baru..... Nak harap JKR mmg makan gaji buta.... Patut Swastakan ja JKR ni.... ,FALSE
suggest supaya lebih ramai menteri kayuh basikal di jalan2 raya utk tgk situasi nya,FALSE
"Rmai dh yg tmbg smpai hlg nyawa angkara jln brlubang, xde plak JKR nk mntk maaf, kne kt mnteri kmain cepat mntk maaf. Btl org ckp JKR ni stand for Jangan Kerja Rajin.",FALSE
harap yb Khairy Jamaluddin boleh berkayuh di Kampung Lombong Jalan Kebun sini.... boleh buat jalan baru cepat siap... ,TRUE
"Tahniah Jabatan Kerja Raya Malaysia ( Public Works Department ) . Cepat je minta maaf dan akan ada tindakan segera. Kalau YB lah yg kena.  Kalau nak tahu, hari² ada rakyat yg bukan YB kemalangan disebabkan jalan berlubang. Belum pernah lagi nampak JKR minta maaf dan nak ambil tindakan segera.   #doublestandard betul 🤦  Kalau macam ni lah, diharap YB kena selalu berbasikal kat kawasan yg byk lubang ni. Biar tinggi kebarangkalian nak kemalangan tu. Bila ada yg YB yg kemalangan, insyaAllah cepat lubang tu dibetulkan nanti.   Bayangkan setiap minggu ada YB kemalangan kerana lubang² atas jalan ni. Aku jamin, by tahun 2030 Malaysia akan jadi negara yang jalanraya nya zero-lubang.",FALSE
"Kepada yb, sy doakan yb cepat sembuh. Cuma, di sini sy bukan gembira yb jatuh dan cedera, cuma bila yb kena, automatik pihak berwajib cepat2 wat keje. Mata terus nampak, telinga terus dengar, hijab alam bazrah terus terbuka. Ahad pun sanggup datang ofis wat keje. Sbb apa yb? Sbb yb seorang menteri. Cuba kalo  kena kat rakyat biasa, lantak la situ. Sy minta, yb sebagai mangsa bawa pekara ni untuk dibincangkan dengan kementerian yang terlibat.",FALSE
Mentang2 menteri tros say sorry nk repair jln bagai..rakyat lain berlambak lg injured tadok pulok nk say sorry pahtu repair jln 🙄🙄🙄,FALSE
Org awam kalau tergolek kemalangan disebabkan lobang di jalan raya mati ramai pun tak apa...klu menteri terkucil sikit jek cepat3 mohon maaf dan perbaiki cepat... Tu bermakna mereka yg ditugaskan memantau jalan yg rosak tiiiddddoooo,FALSE
check skali smua jalan di malaysia terutama selangor and kuala lumpur...byk lobang beso2 dan tinggi rendah bahaya utk penunggang motorsikal...tinggi tetiba sebab bekas korek repair paip la kabel la...tolong seragamkan sop turap menurap ni...bahaya sungguh ...bpe kali rakyat penunggang motorsikal nak tukar rim sebulan?????,FALSE
"Kepada rakyat marhaein tak nak mintak maaf ke yg mana dah tergolek, masuk longkang, tayar pecah, keta rosak etc. Bila menteri kena baru nak ambik tindakan. Apa apa, terimakasih YB Khairy mengutarakan masalah rakyat.",FALSE
Betul tu YB.. Jalan raya skrg teruk sangat.. X de pamantauan.. Korek2.. Ttp lubang pun mcm nk xnak..,FALSE
Bawa la bunga buah tgn bg ke dia.. Jkr pun satu modal air liur je minta maaf.. Mana mahunya.,FALSE
